user_id,user_pw,user_name,user_nm,user_email,user_age,user_sex,skin_type
aa0001,wl8ch,박서희,hiinaa,4g83te@gmail.com,27,여,건성
aa0002,5ute7,오진은,이뿌닝히,z0cd13beqv@gmail.com,27,여,복합성
aa0003,4tcew,임현솔,0moon2,92xaib2dr@gmail.com,31,여,민감성
aa0004,wytby,조훈준,바비쏭,h31vccvv@gmail.com,35,여,건성
aa0005,mecrv,임현정,윤이나씨,iqan46z@naver.com,37,여,건성
aa0006,rxklh,최현은,OKB,6u9ltu@gmail.com,29,여,지성
aa0007,i94ze,최훈아,더무아,04ta0@naver.com,31,여,민감성
aa0008,l3vz3,임현정,뽀삐뽀오,nd6rms1@naver.com,34,여,복합성
aa0009,7yivp,정준이,띠링띠링5,7olxiydi21@naver.com,30,여,민감성
aa0010,cr9jv,최재아,dada,jbwzmb5e@gmail.com,29,여,복합성
aa0011,uwaee,이지이,syoung2,61d0wcn@gmail.com,33,여,복합성
aa0012,9b8lz,정지예,lovelynee,f5mjheb3xj@gmail.com,31,여,민감성
aa0013,lyulk,이진영,민굥잇,lhqhc6q@gmail.com,36,여,건성
aa0014,4w8q9,최진아,꿈꾸는구름,beq2luleth@naver.com,32,여,건성
aa0015,te01d,박준희,움먐미,vzoxw0@gmail.com,23,여,복합성
aa0016,rirhm,강지솔,핑크글로리,hwof429cov@naver.com,36,여,복합성
aa0017,yeakk,박민정,하니가되,fzwlzt@naver.com,20,여,민감성
aa0018,3bxzs,박재이,dugy,5wbvr8t29@gmail.com,34,여,건성
aa0019,tt9l9,최서솔,개나리민트,7sv25@gmail.com,48,여,건성
aa0020,vzu70,강민정,글로리#fGJdGO,0u2we6l@gmail.com,48,여,건성
aa0021,let71,박진정,오레아,aj84p3vv@gmail.com,33,여,복합성
aa0022,lr9hs,최민예,vzvzvz,biz369eqz@naver.com,31,여,복합성
aa0023,srdxj,김지예,룰루빛,6xjh01@naver.com,29,여,민감성
aa0024,48nn1,강민준,으키키요,s3q8fjs4@naver.com,25,여,지성
aa0025,6142o,최진정,푸타로,qngnlxj5o@gmail.com,26,여,건성
aa0026,6sykn,임영희,코덕유,kj8rxye@naver.com,17,여,복합성
aa0027,102gk,김준정,원숭이끼끼,0e5ij36r@gmail.com,25,여,복합성
aa0028,7o1yu,김현나,juliameera,dy7cdjia5@naver.com,24,여,지성
aa0029,0y9u9,김현솔,블링블루,b45vv@naver.com,49,여,복합성
aa0030,407e6,박지정,외외,hw0ah9wr@naver.com,42,여,복합성
aa0031,12z5y,박영나,으레쟌,7h9tjys@gmail.com,29,여,지성
aa0032,iohiq,정진아,싸이키코,knxthbifj@naver.com,33,여,복합성
aa0033,o9fcm,조진솔,장바구니백만개,1fpm7o6svx@gmail.com,34,여,복합성
aa0034,1fy67,정지아,지직,k64xu4t4@gmail.com,33,여,민감성
aa0035,y564t,최수이,moo3,dzm1y3le@naver.com,26,여,건성
aa0036,s0tlw,박영준,글로리#fzhVi6,w2xq2vhsp@gmail.com,28,여,건성
aa0037,crcji,이영영,빰비담,yy3glcg0@gmail.com,29,여,건성
aa0038,g4n1e,이서아,roseholic,rhltsdbq5@gmail.com,56,여,건성
aa0039,gaao1,박진나,연유라떼유,fy7ho40gu@naver.com,31,여,민감성
aa0040,wlxqs,강수정,지니씨,wvw8mcrd@gmail.com,41,여,건성
aa0041,0xmcz,강민준,mim_j00,eu4waq5@gmail.com,18,여,지성
aa0042,bsrji,오준이,코덕내진심느껴지니,kymb08ar6l@gmail.com,34,여,복합성
aa0043,r0v7f,정영예,앤찡,qw713btx@naver.com,29,여,복합성
aa0044,1o84u,이재나,글로리#euya8L,e9gs1@gmail.com,32,여,지성
aa0045,hywth,윤훈은,피부갱생가즈아,gv8byxd@gmail.com,36,남,지성
aa0046,5myxo,강준나,innng30,dw3p3ohn@gmail.com,38,여,건성
aa0047,zwxzr,오지영,럽비,ohavy@naver.com,30,여,민감성
aa0048,pd58b,오현이,@매새,3x9yypa4n@naver.com,44,여,복합성
aa0049,9f9hy,강영정,yeon__,0g9gkhtqr@gmail.com,44,여,민감성
aa0050,nfwge,김영영,차간호사,94him@gmail.com,39,여,복합성
aa0051,n2ogj,오재아,피치허니,iir0b@naver.com,21,여,건성
aa0052,tlbew,김훈예,expatKR,wl4tou8@gmail.com,34,여,중성
aa0053,shbrq,김준나,ovo6,hhyj7nocu@gmail.com,25,여,건성
aa0054,yur2c,박현이,paperheart,mq3u5fe@gmail.com,29,여,중성
aa0055,truxf,임영예,한울린,n161i@naver.com,26,여,민감성
aa0056,k5pz0,이영은,초코맛있오,gmia17w4o@gmail.com,18,여,지성
